PROCEDURE,Billing Description,UNIT CHARGE
22000000,HEMODIALYSIS PROCEDURE W/ PHYS/QHP EVALUATION - FACILITY,583
111000000,INTERMED MED/SURG/GYN PRIVATE - FACILITY,3220
111000001,MED/SURG/GYN PRIVATE - FACILITY,1750
111000003,TELEMETRY MED/SURG/GYN PRIV - FACILITY,2990
118000000,REHAB PRIVATE - FACILITY,1750
200000000,INTENSIVE CARE - FACILITY,4900
206000000,INTERMEDIATE INTENSIVE CARE - FACILITY,3590
260000000,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, INITIAL DRUG - FACILITY",270
260000001,"INJECTION,THERAP/PROPH/DIAGNOST, IM OR SUBCUT - FACILITY",137
260000002,"IV INFUSION, HYDRATION, EA ADD HOUR - FACILITY",108
260000003,"IV INFUSION, HYDRATION, 31-60 MIN - FACILITY",332
260000004,"IV INFUSION, THERAP/PROPH/DIAGNOST,ADD INFUSION,1ST HOUR - FACILITY",147
260000005,"IV INFUSION, THERAP/PROPH/DIAGNOST,CONCURRENT INFUSION - FACILITY",147
260000006,"IV INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,EA ADD HOUR - FACILITY",122
260000007,"IV INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,1ST HOUR - FACILITY",390
260000008,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, SAME DRUG - FACILITY",108
260000009,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, NEW DRUG - FACILITY",123
260000011,"SUBCUT INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,1ST HOUR - FACILITY",620
260000014,APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION - FACILITY,86
260000015,"INJECTION,THERAP/PROPH/DIAGNOST, INTRA-ARTERIAL - FACILITY",253
270000203,OXYGEN HOURLY - FACILITY,33
271000052,PROTECTOR HEEL OR ELBOW - FACILITY,13
271000054,JUVEDERM ULTRA XC - FACILITY,425
271000159,BELT STRAP SLEEV GRMNT COVER - FACILITY,35
271000162,"DME SUPPLY OR ACCESSORY, NOS - FACILITY",20
271000167,NON-ELEC OSCILLATORY PEP DVC - FACILITY,52
271000179,EXERCISE EQUIPMENT - FACILITY,14
272000258,KIT SYNCHROMED REFILL - FACILITY,48
272000271,LT COMPRES BAND <3/YD - FACILITY,2
272000317,HAND-HELD PEFR METER - FACILITY,27
272000354,"SILICONE GEL SHEET, EACH - FACILITY",19.5
272000416,"CATH, INF, PER/CENT/MIDLINE - FACILITY",1166
272000418,"CATH, INF, PER/CENT/MIDLINE - FACILITY",502
272000996,"CATH, INF, PER/CENT/MIDLINE - FACILITY",313
272000999,RF CANN PROBE CVD 20GA - FACILITY,815
272001000,CANN CVD 18GA 10MM - FACILITY,53
272001001,RF CANN INSUL TRIDENT  - FACILITY,90
272001002,TRIAL CBL CONN MULTILEAD - FACILITY,220
272001003,KIT RF PROBE 17GA X2 - FACILITY,750
272001004,KIT RF MULTICOOLED 17GA X4 - FACILITY,1330
274000003,ANKLE CONTROL ORTHO PRE OTS - FACILITY,134
274000011,LO FLEX L1-BELOW L5 PRE OTS - FACILITY,53
274000015,PNEUMAT WALKING BOOT PRE CST - FACILITY,294
274000016,PNEUMA/VAC WALK BOOT PRE OTS - FACILITY,290
274000020,ANKLE CONTROL ORTHO PRE OTS - FACILITY,139
274000029,UPP EXT FX ORTHOSIS HUMERAL - FACILITY,113
274000030,KO ADJ JNT POS R SUP PRE CST - FACILITY,154
274000049,CERV FLEX N/ADJ FOAM PRE OTS - FACILITY,45
274000050,CERVICAL SEMI-RIGID ADJUSTAB - FACILITY,59
274000059,FOOT ARCH SUPP PREMOLD METAT - FACILITY,280
274000064,KO IMMOB CANVAS LONG PRE OTS - FACILITY,148
274000076,SHOE LIFTS TAPERED TO ONE-HA - FACILITY,70
274000079,EWHO RIGID W/O JNTS CF - FACILITY,728
274000083,EO ADJ JT PREFAB CUSTOM FIT - FACILITY,432
274000084,EO W/O JOINTS CF - FACILITY,545
274000086,WHFO W/JOINT(S) CUSTOM FAB - FACILITY,392
274000090,WHO W/O JOINTS CF - FACILITY,468
274000092,"WHFO, RIGID W/O JOINTS - FACILITY",393
274000095,WHFO W/O JOINTS PRE CST - FACILITY,219
274000096,WHO COCK-UP NONMOLDE PRE OTS - FACILITY,71
274000097,ANKLE CONTROL ORTHO PRE OTS - FACILITY,109
274000098,STATIC OR DYNAMI AFO PRE CST - FACILITY,162
274000100,FO PIP DIP JNT/SPRNG PRE OTS - FACILITY,57
274000101,FO W/O JOINTS CF - FACILITY,184
274000102,HFO W/JOINT(S) CF - FACILITY,277
274000104,HFO W/O JOINTS CF - FACILITY,234
274000117,AMBULATORY SURGICAL BOOT EAC - FACILITY,22
274000128,SLINGS - FACILITY,52
274000139,HFO WITHOUT JOINTS PRE CST - FACILITY,78
