PROCEDURE,Billing Description,UNIT CHARGE
100100000,HERMAN HOUSE LVL 1 - FACILITY,950
100100001,HERMAN HOUSE LVL 2 - FACILITY,415
111000000,INTERMED MED/SURG/GYN PRIVATE - FACILITY,3455
111000001,MED/SURG/GYN PRIVATE - FACILITY,2325
111000002,PAT REQ MED/SURG/GYN PRIVATE - FACILITY,2325
111000003,TELEMETRY MED/SURG/GYN PRIV - FACILITY,3455
111000005,RESPITE GENERAL - FACILITY,678
112000000,INTERMEDIATE OB PRIVATE - FACILITY,3455
112000001,OB PRIVATE - FACILITY,2325
113000000,INTERMED PEDIATRIC PRIVATE - FACILITY,4060
113000001,PEDIATRICS PRIVATE - FACILITY,2325
114000000,PSYCH PRIVATE - FACILITY,2645
114000001,PSYCH PEDS/ADOL PRIVATE - FACILITY,3270
115000000,INPATIENT - HOSPICE PRIVATE - FACILITY,2325
118000000,REHAB PRIVATE - FACILITY,2665
120000000,HC GENERAL SEMI PRIVATE - FACILITY,2325
121000000,INTERMED MED/SURG/GYN SEMIPRIV - FACILITY,3360
121000001,MED/SURG/GYN SEMI-PRIVATE - FACILITY,2230
123000000,PEDIATRIC SEMI-PRIVATE - FACILITY,2230
125000000,INPATIENT - HOSPICE SEMI-PRIVATE - FACILITY,2230
128000000,REHAB SEMI-PRIVATE - FACILITY,2580
171000000,NEWBORN LEVEL I - FACILITY,985
172000000,NEWBORN LEVEL II - FACILITY,2320
173000000,NEWBORN LEVEL III - FACILITY,4140
174000000,NEWBORN LEVEL IV - FACILITY,5810
200000000,INTENSIVE CARE - FACILITY,5505
201000000,SURGICAL INTENSIVE CARE - FACILITY,5505
202000000,MEDICAL INTENSIVE CARE - FACILITY,5505
203000000,PEDIATRICS INTENSIVE CARE - FACILITY,5505
204000000,PSYCH INTENSIVE CARE - FACILITY,5505
206000000,INTERMEDIATE INTENSIVE CARE - FACILITY,3455
206000001,SERVICE UPGRADE - FACILITY,4650
211000000,MYOCARD INFARCTION INTENS CARE - FACILITY,5505
214000000,INTERMED CORONARY CARE PRIVATE - FACILITY,3455
220000000,SIGN LANG/ORAL INTERPRETER - FACILITY,1991.92
230000002,MARS DAILY TREATMENT - FACILITY,6035.77
230000003,WOUND VAC TX 1ST DEVICE USED - FACILITY,265
230000004,WND VAC TX 2ND DEV-SME DAY USE - FACILITY,265
250000027,HOSPITAL OUTPT CLINIC VISIT - FACILITY,55
250000028,HOSPITAL OUTPT CLINIC VISIT - FACILITY,55
250000029,HOSPITAL OUTPT CLINIC VISIT - FACILITY,110
260000000,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, INITIAL DRUG - FACILITY",184.53
260000001,"INJECTION,THERAP/PROPH/DIAGNOST, IM OR SUBCUT - FACILITY",82.21
260000002,"IV INFUSION, HYDRATION, EA ADD HOUR - FACILITY",94.13
260000003,"IV INFUSION, HYDRATION, 31-60 MIN - FACILITY",221.2
260000004,"IV INFUSION, THERAP/PROPH/DIAGNOST,ADD INFUSION,1ST HOUR - FACILITY",188.53
260000005,"IV INFUSION, THERAP/PROPH/DIAGNOST,CONCURRENT INFUSION - FACILITY",106.83
260000006,"IV INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,EA ADD HOUR - FACILITY",116.89
260000007,"IV INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,1ST HOUR - FACILITY",266.43
260000008,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, SAME DRUG - FACILITY",159.81
260000009,"INJECTION,THERAP/PROPH/DIAGNOST, IV PUSH, EA ADD, NEW DRUG - FACILITY",110.6
260000011,"SUBCUT INFUSION, THERAP/PROPH/DIAGNOST,INITIAL,1ST HOUR - FACILITY",623.98
260000012,"SUBCUT INFUSION, THERAP/PROPH/DIAGNOST,EA ADD HOUR - FACILITY",114.13
260000013,"SUBCUT INFUSION, THERAP/PROPH/DIAGNOST,ADD PUMP SET - FACILITY",273.94
260000016,PLACE NEEDLE IN VEIN - FACILITY,512.6
260000017,COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE - FACILITY,182.65
260000018,COLLECT BLOOD PICC VENOUS NOS - FACILITY,182.65
270000029,OXYGEN TIMED - FACILITY,25
270000203,OXYGEN HOURLY - FACILITY,25
271000020,EAR IMPRESSION - FACILITY,40
271000022,EAR MOLD/INSERT - FACILITY,90
271000124,HFO FLEXION GLOVE PRE OTS - FACILITY,146.89
272000234,"INTRO/SHEATH, NON-LASER - FACILITY",123.26
272000415,"CATH, INF, PER/CENT/MIDLINE - FACILITY",347.44
272000416,"CATH, INF, PER/CENT/MIDLINE - FACILITY",345.1
272000418,"CATH, INF, PER/CENT/MIDLINE - FACILITY",450.56
272000936,TX2 PROCEDURE KIT - FACILITY,3802.5
272000945,"CATH, INF, PER/CENT/MIDLINE - FACILITY",160
272000946,"CATH, INF, PER/CENT/MIDLINE - FACILITY",160
272000947,"CATH, INF, PER/CENT/MIDLINE - FACILITY",387.94
272000948,"CATH, INF, PER/CENT/MIDLINE - FACILITY",409.26
272000950,"CATH, INF, PER/CENT/MIDLINE - FACILITY",318
272000951,"CATH, INF, PER/CENT/MIDLINE - FACILITY",130
272000955,TXURETH RF THERMAL THRPY - FACILITY,1495
272000967,SET HF1000 PRISMAFLEX FIL - FACILITY,907.5
272000968,TX PROCEDURE KIT - FACILITY,3442.5
272000969,SET HF1400 PRISMAFLEX FIL - FACILITY,1028.5
272000979,CATHETER-COOK ECHOTIP SOFTPASS - FACILITY,130
272000980,CATHETER-SUREVIEW TRIAL 18 CM - FACILITY,77.6
272000981,CATHETER-SUREVIEW TRIAL 23 CM - FACILITY,108.5
272000982,CATH-SUREVIEW TRANSFER 18 CM - FACILITY,137.5
