Description,Min. Price,Max. Price
Acetabular augments,"$5,586.00 ","$7,506.00 "
Acetabular cages,"$1,387.00 ","$8,374.00 "
Acetabular cup liners,$478.00 ,"$30,734.00 "
Acetabular cup shells,$858.00 ,"$30,734.00 "
Acetabular cups,"$1,933.00 ","$28,457.00 "
Acetabular rings,$554.00 ,"$4,625.00 "
Acetabular screws,$133.00 ,$795.00 
Airway management products,$366.00 ,"$9,996.00 "
Anastomosis rings,$46.00 ,$46.00 
Anatomical human models for medical education or training,"$29,238.00 ","$37,555.00 "
Angiography catheters,$54.00 ,"$18,590.00 "
Angioplasty balloon catheters,$91.00 ,"$19,305.00 "
Ankle joint implants,"$1,788.00 ","$30,030.00 "
Ankle or foot orthopedic softgoods,$230.00 ,"$1,759.00 "
Annuloplasty rings,"$4,290.00 ","$6,292.00 "
Aortic valves,"$1,115.00 ","$94,380.00 "
Arm orthopedic softgoods,$280.00 ,$383.00 
Arterial line catheters,$71.00 ,$379.00 
Arteriotomy site closure devices,$107.00 ,"$2,817.00 "
Artherectomy catheters,$858.00 ,"$10,854.00 "
Artificial airway holders,$114.00 ,$114.00 
Back or lumbar or sacral orthopedic softgoods,$272.00 ,"$4,148.00 "
Bandages and dressings and related products,$280.00 ,"$8,580.00 "
Bi polar or uni polar hip components,$660.00 ,"$7,150.00 "
Biliary stents,$141.00 ,"$21,808.00 "
Biological tissue implants,$241.00 ,"$59,846.00 "
Biometric identification equipment,$155.00 ,$155.00 
Biopsy needles,$61.00 ,"$1,573.00 "
Bone fixation pin or peg or wire,$80.00 ,"$4,547.00 "
Bone fixation staples,$42.00 ,"$6,564.00 "
Bone graft extender or void fillers or substitutes,"$2,646.00 ","$12,269.00 "
Bone plates,$37.00 ,"$31,460.00 "
Bone screws,$65.00 ,"$19,305.00 "
Breast implant volume mammary sizers,$743.00 ,"$2,431.00 "
Breast implants,"$2,217.00 ","$3,289.00 "
Bronchoscopes,"$1,432.00 ","$1,432.00 "
Cardiac ablation catheters,$173.00 ,"$12,870.00 "
Cardiac catheterization lab equipment,$323.00 ,"$4,290.00 "
Cardiac pacemaker generators or cardiac resynchronization therapy pacemakers CRT-P,$409.00 ,"$25,025.00 "
Cardiac pacemakers and related products,$422.00 ,"$70,668.00 "
Cardiac pacing lead introducers or sets,$237.00 ,"$8,280.00 "
Cardiac pacing leads or electrodes,$222.00 ,"$25,025.00 "
Cardiac recorders,$561.00 ,"$14,286.00 "
Cardiovascular catheter sheathes,$106.00 ,"$3,146.00 "
Cardiovascular conduits,"$10,010.00 ","$10,010.00 "
Cardiovascular implants,"$85,800.00 ","$85,800.00 "
Cardiovascular occluders,"$1,165.00 ","$48,620.00 "
Cardiovascular sheath kits,$133.00 ,"$8,280.00 "
Central venous catheters,$145.00 ,"$7,150.00 "
Cerebral spinal fluid CSF drainage products and accessories,$180.00 ,"$1,746.00 "
